M_sigma	S	Q_alpha	motif_ratio_summary	motif_ratio
0.42	0.2	Inf	0	0.9207939319274343
0.42	0.4	Inf	0	0.7910674074354864
0.42	0.8	Inf	0	0.39257733301895875
0.43	0	Inf	0	1
0.43	0.05	Inf	0	0.9791263533055506
0.43	0.1	Inf	0	0.9489475372700819
0.43	0.2	Inf	0	0.9113084907062428
0.43	0.4	Inf	0	0.8259439822500306
0.43	0.8	Inf	0	0.5473633842092366
0.44	0	Inf	0	1
0.44	0.05	Inf	0	0.9690351105986102
0.44	0.1	Inf	0	0.9626118028926741
0.44	0.2	Inf	0	0.8980908730459413
0.44	0.4	Inf	0	0.836253989767505
0.44	0.8	Inf	0	0.41015150381892423
0.45	0	Inf	0	1
0.45	0.05	Inf	0	0.9653014251952134
0.45	0.1	Inf	0	0.9397076483181651
0.45	0.2	Inf	0	0.922156600952384
0.45	0.4	Inf	0	0.7559157648404732
0.45	0.8	Inf	0	0.6689970327907794
0.46	0	Inf	0	1
0.46	0.05	Inf	0	0.9728143683408544
0.46	0.1	Inf	0	0.9396248852241793
0.46	0.2	Inf	0	0.9078618836169292
0.46	0.4	Inf	0	0.8073312158332806
0.46	0.8	Inf	0	0.6104233109493888
0.47	0	Inf	0	1
0.47	0.05	Inf	0	0.9767050441005376
0.47	0.1	Inf	0	0.9364327170323387
0.47	0.2	Inf	0	0.8838700305000593
0.47	0.4	Inf	0	0.7875258538285927
0.47	0.8	Inf	0	0.43532943204226904
0.48	0	Inf	0	1
0.48	0.05	Inf	0	0.9670376502242339
0.48	0.1	Inf	0	0.9267801487991055
0.48	0.2	Inf	0	0.9062681344404047
0.48	0.4	Inf	0	0.8165466715444023
0.48	0.8	Inf	0	0.6005554359138259
0.49	0	Inf	0	1
0.49	0.05	Inf	0	0.9654424002454214
0.49	0.1	Inf	0	0.954961040772126
0.49	0.2	Inf	0	0.9038097294809339
0.49	0.4	Inf	0	0.7924250485876977
0.49	0.8	Inf	0	0.5927449223602843
0.5	0	Inf	0	1
0.5	0.05	Inf	0	0.9670812188449226
0.5	0.1	Inf	0	0.9369099075561457
0.5	0.2	Inf	0	0.905383775529522
0.5	0.4	Inf	0	0.6972323745790708
0.5	0.8	Inf	0	0.5714738024300037
0.51	0	Inf	0	1
0.51	0.05	Inf	0	0.9704112298633746
0.51	0.1	Inf	0	0.9474329916615873
0.51	0.2	Inf	0	0.8748087964987837
0.51	0.4	Inf	0	0.717300291658801
