M_sigma	S	Q_alpha	motif_exon_summary	motif_exon
0.87	0	Inf	0	0.011725150823525259
0.87	0.05	Inf	0	0.004852003826654577
0.87	0.1	Inf	0	0.011885042041665453
0.87	0.2	Inf	0	0.014516108830248321
0.87	0.4	Inf	0	0.0297894138283002
0.87	0.8	Inf	0	0.04136995551688562
0.88	0	Inf	0	0.0036146388545261142
0.88	0.05	Inf	0	0.008731493624050606
0.88	0.1	Inf	0	0.013710546706609148
0.88	0.2	Inf	0	0.017808679114167357
0.88	0.4	Inf	0	0.02278974610850584
0.88	0.8	Inf	0	0.04139930880948542
0.89	0	Inf	0	0.00800744849476129
0.89	0.05	Inf	0	0.008270570924502244
0.89	0.1	Inf	0	0.008050696310900315
0.89	0.2	Inf	0	0.015285896262335067
0.89	0.4	Inf	0	0.022966119448583636
0.89	0.8	Inf	0	0.041567170245191395
0.9	0	Inf	0	0.0051951722525457565
0.9	0.05	Inf	0	0.011824709294430826
0.9	0.1	Inf	0	0.017126096286726636
0.9	0.2	Inf	0	0.015260033447120482
0.9	0.4	Inf	0	0.024841512603823855
0.9	0.8	Inf	0	0.041150030788876274
0.91	0	Inf	0	0.005720206990263431
0.91	0.05	Inf	0	0.00771259843734598
0.91	0.1	Inf	0	0.010234742260501603
0.91	0.2	Inf	0	0.015574475934872403
0.91	0.4	Inf	0	0.024067286075202126
0.91	0.8	Inf	0	0.04072973491865934
0.92	0	Inf	0	0.008417840401468216
0.92	0.05	Inf	0	0.004729343598577555
0.92	0.1	Inf	0	0.008820664876066121
0.92	0.2	Inf	0	0.012818870757624614
0.92	0.4	Inf	0	0.022581218676750753
0.92	0.8	Inf	0	0.0407481029579373
0.93	0	Inf	0	0.008048309020822578
0.93	0.05	Inf	0	0.010234841508352239
0.93	0.1	Inf	0	0.007980714022691475
0.93	0.2	Inf	0	0.012637173735150838
0.93	0.4	Inf	0	0.022039476682378333
0.93	0.8	Inf	0	0.04141605819337387
0.94	0	Inf	0	0.008810242146779182
0.94	0.05	Inf	0	0.006058906970678785
0.94	0.1	Inf	0	0.007624758406314675
0.94	0.2	Inf	0	0.013557352488008755
0.94	0.4	Inf	0	0.023414857855470178
0.94	0.8	Inf	0	0.04113522316862029
0.95	0	Inf	0	0.010399914098250045
0.95	0.05	Inf	0	0.016655749381607916
0.95	0.1	Inf	0	0.013011244191817336
0.95	0.2	Inf	0	0.018497954793225323
0.95	0.4	Inf	0	0.021232006440720614
0.95	0.8	Inf	0	0.04177697626977232
0.96	0	Inf	0	0.0057050648286204675
0.96	0.05	Inf	0	0.007363273318123849
0.96	0.1	Inf	0	0.008502447517491258
0.96	0.2	Inf	0	0.013293821531244965
0.96	0.4	Inf	0	0.021623177195564044
0.96	0.8	Inf	0	0.04122824591911396
0.97	0	Inf	0	0.008021769498481806
0.97	0.05	Inf	0	0.010528318591193858
0.97	0.1	Inf	0	0.005764270157935687
0.97	0.2	Inf	0	0.0127372899904503
0.97	0.4	Inf	0	0.0216430838917982
0.97	0.8	Inf	0	0.040890464257922754
0.98	0	Inf	0	0.0033379283898888027
0.98	0.05	Inf	0	0.006245191901877924
0.98	0.1	Inf	0	0.007906901434219632
0.98	0.2	Inf	0	0.013063097361429767
0.98	0.4	Inf	0	0.0221370301404383
0.98	0.8	Inf	0	0.04023597866741861
0.99	0	Inf	0	0.005625473237743798
0.99	0.05	Inf	0	0.010327993495552168
0.99	0.1	Inf	0	0.008299341677358447
