M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.48	0.05	Inf	0	0.013222028551787987
0.48	0.1	Inf	0	0.01756881226922255
0.48	0.2	Inf	0	0.018856534743115307
0.48	0.4	Inf	0	0.0147279328753526
0.48	0.8	Inf	0	0.014196279380493894
0.49	0	Inf	0	0.011532074800727916
0.49	0.05	Inf	0	0.014242864505803612
0.49	0.1	Inf	0	0.028652358454033546
0.49	0.2	Inf	0	0.01820169064672798
0.49	0.4	Inf	0	0.021221790152369406
0.49	0.8	Inf	0	0.016727007359215104
0.5	0	Inf	0	0.015474488385959745
0.5	0.05	Inf	0	0.017550230737652227
0.5	0.1	Inf	0	0.009839366529802508
0.5	0.2	Inf	0	0.01602929747609341
0.5	0.4	Inf	0	0.015071059198190762
0.5	0.8	Inf	0	0.025139914502117697
0.51	0	Inf	0	0.020507822741160406
0.51	0.05	Inf	0	0.018470132561381244
0.51	0.1	Inf	0	0.01160360817046846
0.51	0.2	Inf	0	0.017221177943790755
0.51	0.4	Inf	0	0.010297995983857455
0.51	0.8	Inf	0	0.016570553884719598
0.52	0	Inf	0	0.014234681409637684
0.52	0.05	Inf	0	0.014019058346621328
0.52	0.1	Inf	0	0.016393303068040828
0.52	0.2	Inf	0	0.012155678768014534
0.52	0.4	Inf	0	0.014879127118833194
0.52	0.8	Inf	0	0.01597744835774377
0.53	0	Inf	0	0.018812654105592765
0.53	0.05	Inf	0	0.014134772100046383
0.53	0.1	Inf	0	0.017056165620039834
0.53	0.2	Inf	0	0.01991481052193837
0.53	0.4	Inf	0	0.016878688792276803
0.53	0.8	Inf	0	0.015987888332089632
0.54	0	Inf	0	0.020908807870292846
0.54	0.05	Inf	0	0.01083990948383792
0.54	0.1	Inf	0	0.010548191747078816
0.54	0.2	Inf	0	0.016579918572917712
0.54	0.4	Inf	0	0.01218369383730645
0.54	0.8	Inf	0	0.012851271277695009
0.55	0	Inf	0	0.01373731472076833
0.55	0.05	Inf	0	0.01883266382398883
0.55	0.1	Inf	0	0.016057171616523293
0.55	0.2	Inf	0	0.01729119934897752
0.55	0.4	Inf	0	0.010112639386487716
0.55	0.8	Inf	0	0.011053327451753525
0.56	0	Inf	0	0.01724675591364074
0.56	0.05	Inf	0	0.010320613254009181
0.56	0.1	Inf	0	0.012977966829926873
0.56	0.2	Inf	0	0.013707102829257942
0.56	0.4	Inf	0	0.010984618330613316
0.56	0.8	Inf	0	0.023060976187560856
0.57	0	Inf	0	0.01372875960212902
0.57	0.05	Inf	0	0.0063420400085863185
