init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
exon	neutral	0	915	6588	7.2	6845	7.480874316939999	0.004176630208743169	-0.09215418836263736	0.25121422469390164	-0.4197624446092777	-0.03349572824915721	0.11360170725554074
exon	neutral	0	915	6771	7.4	7039	7.69289617486	0.0040019291202185794	-0.0696366538901099	0.2155714957341921	-0.3641539210929018	0.018229207951212183	0.10704029977131586
exon	neutral	0	915	6954	7.6	7225	7.89617486339	0.0043747670211293265	-0.08957534752747254	0.16674164419273618	-0.37314907295432426	-0.013184334628406099	0.09761320905776105
exon	neutral	0	915	7137	7.8	7416	8.10491803279	0.004264800918397086	-0.06256096624175825	0.1901202672602429	-0.3364711383161337	0.02383575740226032	0.10279456834504286
exon	neutral	0	915	7320	8.0	7606	8.31256830601	0.004185476780692168	-0.06991227825274726	0.1853635068941655	-0.35073708141522836	-0.019250338270104247	0.09897625415341785
exon	neutral	0	915	7503	8.2	7795	8.51912568306	0.004301267478324226	-0.07761909187912089	0.1789180319714432	-0.3478941743222271	0.025193632672889894	0.09470976739513545
exon	neutral	0	915	7686	8.4	7985	8.726775956280001	0.004152130555191257	-0.05318870502197802	0.16861546227478844	-0.32294083202389734	0.02195820643967634	0.10070506046157007
exon	neutral	0	915	7869	8.6	8177	8.93661202186	0.0038452350925318765	-0.08538837719780219	0.202209107230862	-0.3962874626342814	-0.024448865204831503	0.09133486199918173
exon	neutral	0	915	8052	8.8	8364	9.14098360656	0.0040508287402550094	-0.07910506238461538	0.232340357799867	-0.40970897810414564	-0.06662445754965383	0.09706426995122877
exon	neutral	0	915	8235	9.0	8549	9.34316939891	0.003895284303460838	-0.0901746868021978	0.25395279380874314	-0.4361038192807437	-0.059989490311069614	0.1052388567016568
exon	neutral	0	915	8418	9.2	8739	9.55081967213	0.004156316453916211	-0.0779981411978022	0.2179234329196659	-0.3679884543468826	0.01582359439995414	0.10515336174457948
exon	neutral	0	915	8601	9.4	8927	9.756284153010002	0.0042591790153005465	-0.08460166694505496	0.2486961984725431	-0.40475360768337004	-0.039975515069770706	0.10977105524776419
exon	neutral	0	915	8784	9.6	9123	9.97049180328	0.004079816560655738	-0.07515960447252747	0.2240549244318296	-0.38657044295598164	-0.04461295569219005	0.10595247362694322
exon	neutral	0	915	8967	9.8	9309	10.1737704918	0.004502354956648452	-0.08187961920879121	0.2081141921722518	-0.40212090689765456	-0.06209733797410789	0.10482796264470623
exon	neutral	0	915	9150	10.0	9501	10.3836065574	0.004136113147905282	-0.07925832684615385	0.1949457433963466	-0.3801580576680195	-0.0442841907598094	0.10201261012305114
exon	neutral	1	936	0	0.0	0	0.0	0.0044037558839031335	-0.014531249581095598	0.1053338909389801	-0.12437245555755419	0.14861544831031134	0.08180184302002275
exon	neutral	1	936	187	0.199786324786	192	0.205128205128	0.004152759042022792	-0.05667880905477981	0.18657061441318457	-0.24079633659113292	0.04399609330377401	0.10309147026089234
exon	neutral	1	936	374	0.399572649573	383	0.409188034188	0.00443805193554131	-0.04583917881847476	0.24097729192431738	-0.2324167755619206	0.05376794559936273	0.10379343239227005
exon	neutral	1	936	561	0.599358974359	580	0.619658119658	0.004089547133547008	-0.06083055784103115	0.26529220697273936	-0.3086879358321947	0.007346966514252753	0.11563296825381827
exon	neutral	1	936	748	0.799145299145	773	0.825854700855	0.00420125310042735	-0.056052187851772295	0.23676950041285152	-0.2917122844380834	0.027095622688754085	0.10751964299536462
exon	neutral	1	936	936	1.0	967	1.0331196581200002	0.004091529227920228	-0.0636361313104189	0.23279663256431354	-0.32452904332182486	0.01575115367221748	0.08992607530967463
exon	neutral	1	936	1123	1.19978632479	1159	1.23824786325	0.004580901953347579	-0.06405920221267455	0.20247913300239465	-0.3469422867952616	-0.01495631979152415	0.09310009096840388
exon	neutral	1	936	1310	1.3995726495700003	1347	1.4391025641	0.004484476981125357	-0.07349716808807735	0.20184608324756603	-0.3430376290234123	-0.026961547150439164	0.09672467498940487
exon	neutral	1	936	1497	1.5993589743599999	1537	1.64209401709	0.003863170641737891	-0.0863034041783029	0.22113088649276194	-0.37166237479162423	-0.08135074003551701	0.10820793790548836
exon	neutral	1	936	1684	1.7991452991499999	1729	1.84722222222	0.004506968978632478	-0.08035023297529537	0.2873290449685772	-0.41520110706725993	-0.08194684345326476	0.10421632594427606
exon	neutral	1	936	1872	2.0	1925	2.05662393162	0.00412756643554131	-0.0800264680773362	0.2736921951136645	-0.4008363485616132	-0.06617074017775335	0.09935951370956199
exon	neutral	1	936	2059	2.19978632479	2119	2.2638888888900004	0.004047167133190884	-0.08936646719656283	0.2857910441353809	-0.4358452944317641	-0.08535162307876382	0.11266352734823311
exon	neutral	1	936	2246	2.39957264957	2311	2.4690170940200002	0.004449128855769231	-0.0923646143179377	0.2745084019878754	-0.458044825635076	-0.11070679571664993	0.11118841201415866
exon	neutral	1	936	2433	2.59935897436	2506	2.67735042735	0.004290422252849003	-0.09586819069817401	0.2862507156856197	-0.45722615832461533	-0.07278598208540044	0.1245210840038085
